id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Hiroshima,2879000,2877272.6,2875546.236,2873820.909,2872096.616,2870373.358,2868651.134,2866929.943,2865209.786,2863490.66,2861772.565,2860055.502,2858339.468,2856624.465,2854910.49,2853197.544,2851485.625,2849774.734,2848064.869,2846356.03,2844648.216,2842941.428,2841235.663,2839530.921,2837827.203,2836124.506,2834422.832,2832722.178,2831022.545,2829323.931,2827626.337,2825929.761,2824234.203,2822539.663,2820846.139,2819153.631,2817462.139,2815771.662,2814082.199,2812393.749,2810706.313,2809019.889,2807334.477,2805650.077,2803966.687,2802284.307,2800602.936,2798922.574,2797243.221,2795564.875,2793887.536
Yamaguchi,1528000,1523721.6,1519455.18,1515200.705,1510958.143,1506727.46,1502508.623,1498301.599,1494106.355,1489922.857,1485751.073,1481590.97,1477442.515,1473305.676,1469180.42,1465066.715,1460964.528,1456873.828,1452794.581,1448726.756,1444670.321,1440625.244,1436591.494,1432569.037,1428557.844,1424557.882,1420569.12,1416591.527,1412625.07,1408669.72,1404725.445,1400792.214,1396869.995,1392958.759,1389058.475,1385169.111,1381290.638,1377423.024,1373566.239,1369720.254,1365885.037,1362060.559,1358246.79,1354443.699,1350651.256,1346869.433,1343098.198,1339337.523,1335587.378,1331847.734,1328118.56
Tokushima,824000,821528,819063.416,816606.2258,814156.4071,811713.9379,809278.796,806850.9597,804430.4068,802017.1156,799611.0642,797212.231,794820.5943,792436.1325,790058.8241,787688.6477,785325.5817,782969.605,780620.6962,778278.8341,775943.9976,773616.1656,771295.3171,768981.4311,766674.4868,764374.4634,762081.34,759795.096,757515.7107,755243.1635,752977.4341,750718.5018,748466.3463,746220.9472,743982.2844,741750.3375,739525.0865,737306.5112,735094.5917,732889.3079,730690.64,728498.5681,726313.0724,724134.1332,721961.7308,719795.8456,717636.458,715483.5487,713337.098,711197.0867,709063.4955
Kagawa,1023000,1021363.2,1019729.019,1018097.452,1016468.497,1014842.147,1013218.399,1011597.25,1009978.694,1008362.729,1006749.348,1005138.549,1003530.328,1001924.679,1000321.6,998721.085,997123.1312,995527.7342,993934.8899,992344.594,990756.8427,989171.6317,987588.9571,986008.8148,984431.2007,982856.1108,981283.541,979713.4873,978145.9457,976580.9122,975018.3828,973458.3534,971900.82,970345.7787,968793.2254,967243.1563,965695.5672,964150.4543,962607.8136,961067.6411,959529.9329,957994.685,956461.8935,954931.5544,953403.664,951878.2181,950355.2129,948834.6446,947316.5092,945800.8028,944287.5215
Ehime,1493000,1489267.5,1485544.331,1481830.47,1478125.894,1474430.58,1470744.503,1467067.642,1463399.973,1459741.473,1456092.119,1452451.889,1448820.759,1445198.707,1441585.71,1437981.746,1434386.792,1430800.825,1427223.823,1423655.763,1420096.624,1416546.382,1413005.016,1409472.504,1405948.822,1402433.95,1398927.866,1395430.546,1391941.969,1388462.115,1384990.959,1381528.482,1378074.661,1374629.474,1371192.9,1367764.918,1364345.506,1360934.642,1357532.305,1354138.475,1350753.128,1347376.246,1344007.805,1340647.786,1337296.166,1333952.926,1330618.043,1327291.498,1323973.269,1320663.336,1317361.678
Kochi,814000,810744,807501.024,804271.0199,801053.9358,797849.7201,794658.3212,791479.6879,788313.7692,785160.5141,782019.872,778891.7925,775776.2254,772673.1205,769582.428,766504.0983,763438.0819,760384.3296,757342.7922,754313.4211,751296.1674,748290.9827,745297.8188,742316.6275,739347.361,736389.9716,733444.4117,730510.634,727588.5915,724678.2371,721779.5242,718892.4061,716016.8365,713152.7691,710300.158,707458.9574,704629.1216,701810.6051,699003.3627,696207.3492,693422.5198,690648.8297,687886.2344,685134.6895,682394.1507,679664.5741,676945.9158,674238.1322,671541.1796,668855.0149,666179.5949
Fukuoka,5016000,5018006.4,5020013.603,5022021.608,5024030.417,5026040.029,5028050.445,5030061.665,5032073.69,5034086.519,5036100.154,5038114.594,5040129.84,5042145.892,5044162.75,5046180.415,5048198.887,5050218.167,5052238.254,5054259.149,5056280.853,5058303.365,5060326.687,5062350.817,5064375.758,5066401.508,5068428.069,5070455.44,5072483.622,5074512.615,5076542.42,5078573.037,5080604.467,5082636.708,5084669.763,5086703.631,5088738.312,5090773.808,5092810.117,5094847.241,5096885.18,5098923.934,5100963.504,5103003.889,5105045.091,5107087.109,5109129.944,5111173.596,5113218.065,5115263.352,5117309.458
Saga,877000,875333.7,873670.566,872010.5919,870353.7718,868700.0996,867049.5694,865402.1752,863757.9111,862116.7711,860478.7492,858843.8396,857212.0363,855583.3334,853957.7251,852335.2054,850715.7685,849099.4086,847486.1197,845875.8961,844268.7318,842664.6213,841063.5585,839465.5377,837870.5532,836278.5991,834689.6698,833103.7594,831520.8623,829940.9727,828364.0848,826790.193,825219.2917,823651.375,822086.4374,820524.4732,818965.4767,817409.4423,815856.3643,814306.2372,812759.0554,811214.8132,809673.505,808135.1254,806599.6686,805067.1293,803537.5017,802010.7805,800486.96,798966.0348,797447.9993
Nagasaki,1517000,1511690.5,1506399.583,1501127.185,1495873.24,1490637.683,1485420.451,1480221.48,1475040.705,1469878.062,1464733.489,1459606.922,1454498.297,1449407.553,1444334.627,1439279.456,1434241.978,1429222.131,1424219.853,1419235.084,1414267.761,1409317.824,1404385.211,1399469.863,1394571.719,1389690.718,1384826.8,1379979.906,1375149.977,1370336.952,1365540.772,1360761.38,1355998.715,1351252.719,1346523.335,1341810.503,1337114.166,1332434.267,1327770.747,1323123.549,1318492.617,1313877.893,1309279.32,1304696.843,1300130.404,1295579.947,1291045.417,1286526.758,1282023.915,1277536.831,1273065.452
Kumamoto,1859000,1856583.3,1854169.742,1851759.321,1849352.034,1846947.876,1844546.844,1842148.933,1839754.14,1837362.459,1834973.888,1832588.422,1830206.057,1827826.789,1825450.614,1823077.528,1820707.528,1818340.608,1815976.765,1813615.995,1811258.295,1808903.659,1806552.084,1804203.566,1801858.102,1799515.686,1797176.316,1794839.986,1792506.695,1790176.436,1787849.206,1785525.002,1783203.82,1780885.655,1778570.504,1776258.362,1773949.226,1771643.092,1769339.956,1767039.814,1764742.662,1762448.497,1760157.314,1757869.109,1755583.88,1753301.621,1751022.328,1748745.999,1746472.63,1744202.215,1741934.752
